function_name,instructions_number,LLVM_globalisel_tot_uops,LLVM_selectiondag_tot_uops,VEIR_tot_uops
3_function_10,3,3,3,6.0
3_function_12,3,2,2,5.0
3_function_14,3,3,3,7.0
3_function_17,3,4,4,8.0
3_function_18,3,3,3,6.0
3_function_19,3,1,1,3.0
3_function_22,3,3,3,7.0
3_function_23,3,5,5,7.0
3_function_27,3,1,1,3.0
3_function_31,3,3,3,7.0
3_function_33,3,1,1,3.0
3_function_4,3,2,2,4.0
3_function_40,3,3,3,6.0
3_function_41,3,1,1,3.0
3_function_43,3,3,3,7.0
3_function_44,3,7,7,10.0
3_function_47,3,2,2,6.0
3_function_48,3,1,1,3.0
3_function_52,3,1,1,3.0
3_function_53,3,2,2,5.0
3_function_54,3,1,1,3.0
3_function_55,3,3,3,6.0
3_function_60,3,3,3,6.0
3_function_62,3,2,2,5.0
3_function_64,3,2,2,5.0
3_function_65,3,3,3,6.0
3_function_66,3,3,3,8.0
3_function_67,3,2,2,5.0
3_function_68,3,3,3,7.0
3_function_7,3,2,2,6.0
3_function_74,3,1,1,4.0
3_function_75,3,2,2,5.0
3_function_81,3,3,3,9.0
3_function_82,3,3,3,7.0
3_function_83,3,5,5,9.0
3_function_84,3,6,6,9.0
3_function_85,3,2,2,4.0
3_function_87,3,3,3,9.0
3_function_96,3,4,4,8.0
3_function_97,3,6,5,6.0
4_function_0,4,3,3,7.0
4_function_14,4,5,5,9.0
4_function_15,4,3,3,7.0
4_function_17,4,7,7,11.0
4_function_18,4,3,3,7.0
4_function_19,4,2,2,5.0
4_function_20,4,6,5,9.0
4_function_23,4,5,4,9.0
4_function_24,4,6,6,10.0
4_function_26,4,10,10,14.0
4_function_27,4,1,1,3.0
4_function_28,4,2,2,5.0
4_function_3,4,7,7,10.0
4_function_34,4,2,2,5.0
4_function_36,4,3,3,7.0
4_function_39,4,3,3,7.0
4_function_41,4,4,4,8.0
4_function_42,4,4,4,8.0
4_function_43,4,1,1,4.0
4_function_44,4,2,2,5.0
4_function_48,4,1,1,3.0
4_function_51,4,4,4,7.0
4_function_56,4,7,7,11.0
4_function_58,4,4,4,8.0
4_function_6,4,2,2,7.0
4_function_61,4,4,4,7.0
4_function_66,4,2,2,5.0
4_function_68,4,2,2,5.0
4_function_69,4,2,2,5.0
4_function_7,4,6,6,11.0
4_function_71,4,2,2,5.0
4_function_72,4,4,4,8.0
4_function_73,4,2,2,6.0
4_function_74,4,6,6,9.0
4_function_75,4,2,2,5.0
4_function_77,4,2,2,5.0
4_function_81,4,5,5,9.0
4_function_85,4,2,2,5.0
4_function_86,4,4,4,7.0
4_function_87,4,1,1,3.0
4_function_91,4,5,5,9.0
4_function_92,4,4,4,8.0
4_function_97,4,4,4,7.0
5_function_0,5,5,5,9.0
5_function_14,5,2,2,6.0
5_function_15,5,6,6,11.0
5_function_16,5,2,2,4.0
5_function_2,5,6,6,10.0
5_function_20,5,5,5,9.0
5_function_23,5,1,1,3.0
5_function_25,5,2,2,6.0
5_function_26,5,1,1,3.0
5_function_3,5,2,2,4.0
5_function_31,5,5,5,13.0
5_function_35,5,5,5,9.0
5_function_37,5,5,4,10.0
5_function_4,5,5,5,9.0
5_function_40,5,2,2,6.0
5_function_41,5,6,5,8.0
5_function_43,5,5,5,9.0
5_function_46,5,1,1,3.0
5_function_49,5,5,5,9.0
5_function_5,5,5,5,9.0
5_function_50,5,3,3,6.0
5_function_56,5,1,1,4.0
5_function_57,5,7,7,11.0
5_function_61,5,5,5,8.0
5_function_62,5,8,8,11.0
5_function_67,5,1,1,5.0
5_function_7,5,5,5,9.0
5_function_74,5,7,7,11.0
5_function_8,5,5,5,9.0
5_function_87,5,5,5,10.0
5_function_9,5,4,4,8.0
5_function_90,5,5,5,8.0
5_function_92,5,2,2,4.0
5_function_95,5,4,4,8.0
5_function_96,5,5,5,9.0
6_function_1,6,4,4,8.0
6_function_10,6,6,6,10.0
6_function_11,6,2,2,6.0
6_function_21,6,8,8,12.0
6_function_22,6,4,4,8.0
6_function_3,6,2,2,6.0
6_function_35,6,6,6,11.0
6_function_36,6,2,2,5.0
6_function_43,6,9,9,14.0
6_function_47,6,4,4,8.0
6_function_48,6,2,2,6.0
6_function_50,6,2,2,6.0
6_function_52,6,4,4,8.0
6_function_57,6,4,4,8.0
6_function_58,6,2,2,4.0
6_function_59,6,3,3,7.0
6_function_6,6,4,4,8.0
6_function_62,6,8,8,12.0
6_function_67,6,5,5,9.0
6_function_68,6,2,2,5.0
6_function_69,6,2,2,7.0
6_function_71,6,6,6,10.0
6_function_73,6,2,2,5.0
6_function_74,6,2,2,6.0
6_function_82,6,2,2,6.0
6_function_83,6,2,2,6.0
6_function_84,6,9,8,14.0
6_function_86,6,1,1,5.0
6_function_92,6,5,5,10.0
6_function_93,6,6,6,10.0
6_function_94,6,6,6,10.0
6_function_96,6,6,5,9.0
6_function_97,6,1,1,3.0
7_function_0,7,16,16,16.0
7_function_13,7,5,5,11.0
7_function_14,7,2,2,5.0
7_function_15,7,7,7,13.0
7_function_16,7,3,3,9.0
7_function_19,7,3,3,7.0
7_function_2,7,7,7,11.0
7_function_20,7,1,1,5.0
7_function_21,7,6,6,10.0
7_function_25,7,10,10,15.0
7_function_27,7,1,1,5.0
7_function_29,7,5,5,11.0
7_function_36,7,10,10,15.0
7_function_37,7,8,8,12.0
7_function_38,7,7,7,14.0
7_function_41,7,7,7,11.0
7_function_42,7,2,2,6.0
7_function_46,7,2,2,6.0
7_function_48,7,5,5,9.0
7_function_49,7,7,7,11.0
7_function_5,7,1,1,3.0
7_function_50,7,7,7,11.0
7_function_55,7,2,2,4.0
7_function_57,7,4,4,8.0
7_function_59,7,8,8,11.0
7_function_6,7,3,3,7.0
7_function_68,7,2,2,6.0
7_function_71,7,6,6,10.0
7_function_74,7,6,6,11.0
7_function_75,7,7,7,11.0
7_function_80,7,9,9,17.0
7_function_81,7,7,7,11.0
7_function_86,7,4,4,8.0
7_function_88,7,6,6,10.0
7_function_89,7,5,5,9.0
7_function_90,7,1,1,3.0
7_function_92,7,6,6,9.0
7_function_95,7,4,4,8.0
7_function_97,7,1,1,4.0
8_function_1,8,2,2,6.0
8_function_10,8,14,13,16.0
8_function_17,8,8,8,12.0
8_function_2,8,6,6,10.0
8_function_22,8,4,4,9.0
8_function_26,8,8,8,12.0
8_function_29,8,9,9,15.0
8_function_32,8,2,2,5.0
8_function_36,8,7,7,12.0
8_function_38,8,8,8,15.0
8_function_40,8,2,2,6.0
8_function_43,8,9,9,12.0
8_function_49,8,5,5,10.0
8_function_53,8,3,3,6.0
8_function_54,8,6,6,11.0
8_function_6,8,12,12,16.0
8_function_68,8,2,2,5.0
8_function_7,8,11,11,16.0
8_function_71,8,10,10,13.0
8_function_78,8,10,10,15.0
8_function_80,8,5,5,9.0
8_function_81,8,10,10,14.0
8_function_82,8,3,3,7.0
8_function_84,8,4,4,7.0
8_function_89,8,4,4,7.0
8_function_94,8,8,8,16.0
8_function_98,8,7,7,11.0
